pos,neg,neu,compound
0.076,0.12,0.803,-0.2732
0.102,0.243,0.655,-0.7003
0.092,0.237,0.671,-0.7269
0.0,0.796,0.204,-0.8316
0.0,0.272,0.728,-0.816
0.0,0.0,1.0,0.0
0.0,0.796,0.204,-0.8316
0.322,0.07,0.609,0.8271
0.193,0.114,0.693,0.1531
0.079,0.132,0.789,-0.5499
0.0,0.798,0.202,-0.836
0.049,0.112,0.84,-0.6597
0.198,0.0,0.802,0.7311
0.089,0.192,0.719,-0.4588
0.18,0.114,0.706,0.1779
0.0,0.726,0.274,-0.891
0.088,0.299,0.612,-0.6254
0.072,0.262,0.666,-0.9201
0.043,0.529,0.428,-0.9858
0.0,0.206,0.794,-0.7906
0.107,0.061,0.832,0.3182
0.278,0.0,0.722,0.7523
0.04,0.054,0.906,-0.1655
0.223,0.094,0.683,0.4646
0.0,0.561,0.439,-0.7506
0.127,0.205,0.668,-0.4118
0.184,0.186,0.63,-0.2732
0.159,0.117,0.724,0.3938
0.0,0.468,0.532,-0.9726
0.085,0.324,0.591,-0.8834
0.0,0.352,0.648,-0.5859
0.148,0.163,0.689,-0.4215
0.0,0.0,1.0,0.0
0.0,0.27,0.73,-0.9545
0.205,0.191,0.603,-0.0516
0.0,0.297,0.703,-0.5859
0.0,0.0,1.0,0.0
0.128,0.23,0.642,-0.4404
0.041,0.173,0.786,-0.7717
0.15,0.201,0.649,-0.5719
0.071,0.576,0.353,-0.9805
0.0,0.27,0.73,-0.743
0.133,0.069,0.798,0.2263
0.0,0.344,0.656,-0.9398
0.0,0.0,1.0,0.0
0.063,0.056,0.881,0.0475
0.0,0.398,0.602,-0.5106
0.143,0.233,0.624,-0.6705
0.216,0.14,0.644,0.25
0.121,0.181,0.698,-0.5106
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.118,0.0,0.882,0.4215
0.139,0.0,0.861,0.4404
0.0,0.0,1.0,0.0
0.0,0.396,0.604,-0.9409
0.25,0.195,0.554,0.3136
0.191,0.0,0.809,0.2235
0.108,0.149,0.743,-0.2732
0.087,0.375,0.538,-0.7889
0.156,0.253,0.591,-0.4215
0.144,0.464,0.392,-0.7457
0.0,0.269,0.731,-0.9325
0.067,0.334,0.599,-0.9439
0.0,0.191,0.809,-0.8387
0.0,0.127,0.873,-0.1531
0.168,0.221,0.611,-0.34
0.0,0.0,1.0,0.0
0.0,0.107,0.893,-0.765
0.12,0.186,0.693,-0.6478
0.046,0.178,0.776,-0.8591
0.0,0.0,1.0,0.0
0.0,0.113,0.887,-0.5106
0.0,0.333,0.667,-0.6115
0.23,0.373,0.397,-0.4201
0.183,0.163,0.654,0.0772
0.12,0.036,0.844,0.4588
0.0,0.458,0.542,-0.8225
0.062,0.195,0.744,-0.7351
0.052,0.301,0.647,-0.7564
0.0,0.0,1.0,0.0
0.286,0.0,0.714,0.5574
0.087,0.406,0.507,-0.8934
0.0,0.167,0.833,-0.4215
0.0,0.0,1.0,0.0
0.118,0.237,0.645,-0.4951
0.05,0.077,0.874,-0.3327
0.5,0.244,0.256,-0.0
0.097,0.283,0.62,-0.7003
0.09,0.201,0.709,-0.6712
0.156,0.043,0.801,0.6687
0.0,0.209,0.791,-0.8122
0.0,0.383,0.617,-0.4767
0.0,0.126,0.874,-0.0772
0.161,0.283,0.557,-0.7717
0.0,0.514,0.486,-0.8126
0.104,0.0,0.896,0.4404
0.155,0.0,0.845,0.3182
0.123,0.0,0.877,0.4215
0.0,0.0,1.0,0.0
0.037,0.057,0.906,-0.25
0.093,0.264,0.643,-0.5267
0.046,0.311,0.643,-0.8555
0.0,0.0,1.0,0.0
0.116,0.109,0.775,0.1103
0.0,0.7,0.3,-0.7906
0.256,0.522,0.222,-0.5267
0.0,0.457,0.543,-0.9153
0.0,0.0,1.0,0.0
0.097,0.144,0.758,-0.3167
0.0,0.282,0.718,-0.6249
0.155,0.336,0.509,-0.8032
0.099,0.519,0.382,-0.7579
0.257,0.239,0.504,0.0701
0.0,0.064,0.936,-0.3252
0.0,0.0,1.0,0.0
0.098,0.464,0.437,-0.7717
0.0,0.292,0.708,-0.7351
0.0,0.229,0.771,-0.891
0.178,0.137,0.685,-0.1027
0.13,0.233,0.638,-0.5484
0.0,0.367,0.633,-0.4404
0.144,0.137,0.719,0.0772
0.0,0.136,0.864,-0.4588
0.0,0.27,0.73,-0.5719
0.405,0.249,0.347,0.4019
0.0,0.69,0.31,-0.872
0.0,0.552,0.448,-0.5719
0.0,0.0,1.0,0.0
0.029,0.227,0.743,-0.8687
0.378,0.0,0.622,0.9393
0.0,0.429,0.571,-0.6428
0.186,0.249,0.565,-0.2732
0.121,0.054,0.825,0.4215
0.204,0.117,0.679,0.3013
