model,parameter,candidate,val_macro_f1,seed
BERT-base,learning_rate,1e-05,0.6668182354983757,42
BERT-base,learning_rate,2e-05,0.6711869441088077,42
BERT-base,learning_rate,3e-05,0.661144678264491,42
BERT-base,dropout,0.1,0.6671085198932784,42
BERT-base,dropout,0.2,0.6622747338931524,42
BERT-base,dropout,0.3,0.6724505478191097,42
BERT+MLP,learning_rate,1e-05,0.6562899810206925,42
BERT+MLP,learning_rate,2e-05,0.6651385542315192,42
BERT+MLP,learning_rate,3e-05,0.6593478538749972,42
BERT+MLP,dropout,0.1,0.6643855024435251,42
BERT+MLP,dropout,0.2,0.6625609456424406,42
BERT+MLP,dropout,0.3,0.6692938664807286,42
BERT+VADER,learning_rate,1e-05,0.6706448069238092,42
BERT+VADER,learning_rate,2e-05,0.6690275994293181,42
BERT+VADER,learning_rate,3e-05,0.6670180025465845,42
BERT+VADER,dropout,0.1,0.6697606315253374,42
BERT+VADER,dropout,0.2,0.6656684941252292,42
BERT+VADER,dropout,0.3,0.6693826105975779,42
RoBERTa+VADER,learning_rate,1e-05,0.6502567094387991,42
RoBERTa+VADER,learning_rate,2e-05,0.6489507407601598,42
RoBERTa+VADER,learning_rate,3e-05,0.6510148633286733,42
RoBERTa+VADER,dropout,0.1,0.6528340247339129,42
RoBERTa+VADER,dropout,0.2,0.6512753839189582,42
RoBERTa+VADER,dropout,0.3,0.6550859150099136,42
B_B,attention_loss_alpha,0.0,0.6603111876000961,42
B_B,attention_loss_alpha,0.1,0.6562241262539042,42
B_B,attention_loss_alpha,0.3,0.6616313595107077,42
B_B,attention_loss_alpha,0.5,0.6655804422294339,42
B_B,attention_loss_alpha,0.7,0.6645181843688047,42
B_B,attention_loss_alpha,1.0,0.6664613600848058,42
D_B+Target,target_loss_beta,0.0,0.6719360087520839,42
D_B+Target,target_loss_beta,0.1,0.6669344107067032,42
D_B+Target,target_loss_beta,0.3,0.6649680997507085,42
