model,sample_id,overlap_at_5
BERT-base,38,0.4
BERT-base,44,1.0
BERT-base,52,0.6
BERT-base,65,0.4
BERT-base,70,0.4
BERT-base,79,1.0
BERT-base,80,0.8
BERT-base,82,1.0
BERT-base,89,0.8
BERT-base,91,0.6
BERT-base,93,0.2
BERT-base,111,0.4
BERT-base,124,0.6
BERT-base,129,0.8
BERT-base,139,0.0
BERT-base,161,0.4
BERT-base,168,0.6
BERT-base,178,0.6
BERT-base,188,0.6
BERT-base,215,0.6
BERT-base,218,0.6
BERT-base,220,1.0
BERT-base,233,0.4
BERT-base,235,0.6
BERT-base,244,1.0
BERT-base,0,0.8
BERT-base,1,0.8
BERT-base,2,0.8
BERT-base,4,0.2
BERT-base,5,0.6
BERT-base,6,0.8
BERT-base,12,0.6
BERT-base,15,0.6
BERT-base,20,0.6
BERT-base,21,0.2
BERT-base,22,1.0
BERT-base,24,0.2
BERT-base,25,0.6
BERT-base,26,0.8
BERT-base,28,0.4
BERT-base,29,0.8
BERT-base,30,1.0
BERT-base,31,0.8
BERT-base,36,0.8
BERT-base,37,0.6
BERT-base,39,0.2
BERT-base,41,0.8
BERT-base,42,0.4
BERT-base,43,1.0
BERT-base,45,0.6
RoBERTa+VADER,38,0.8
RoBERTa+VADER,44,1.0
RoBERTa+VADER,52,0.8
RoBERTa+VADER,65,0.4
RoBERTa+VADER,70,0.6
RoBERTa+VADER,79,1.0
RoBERTa+VADER,80,1.0
RoBERTa+VADER,82,0.6
RoBERTa+VADER,89,0.8
RoBERTa+VADER,91,0.8
RoBERTa+VADER,93,0.4
RoBERTa+VADER,111,0.8
RoBERTa+VADER,124,0.6
RoBERTa+VADER,129,0.6
RoBERTa+VADER,139,0.4
RoBERTa+VADER,161,0.8
RoBERTa+VADER,168,1.0
RoBERTa+VADER,178,0.6
RoBERTa+VADER,188,1.0
RoBERTa+VADER,215,0.6
RoBERTa+VADER,218,0.8
RoBERTa+VADER,220,1.0
RoBERTa+VADER,233,0.8
RoBERTa+VADER,235,0.6
RoBERTa+VADER,244,1.0
RoBERTa+VADER,0,0.8
RoBERTa+VADER,1,0.8
RoBERTa+VADER,2,1.0
RoBERTa+VADER,4,0.0
RoBERTa+VADER,5,1.0
RoBERTa+VADER,6,0.6
RoBERTa+VADER,12,0.8
RoBERTa+VADER,15,0.6
RoBERTa+VADER,20,1.0
RoBERTa+VADER,21,0.4
RoBERTa+VADER,22,0.6
RoBERTa+VADER,24,0.6
RoBERTa+VADER,25,0.6
RoBERTa+VADER,26,0.8
RoBERTa+VADER,28,1.0
RoBERTa+VADER,29,0.8
RoBERTa+VADER,30,0.4
RoBERTa+VADER,31,0.4
RoBERTa+VADER,36,0.8
RoBERTa+VADER,37,0.8
RoBERTa+VADER,39,0.6
RoBERTa+VADER,41,0.8
RoBERTa+VADER,42,0.8
RoBERTa+VADER,43,1.0
RoBERTa+VADER,45,0.4
