subgroup,condition,seed,metric,value
source=gab(n=17),A_B,162,rationale_f1_at_5,0.0879
source=gab(n=17),A_B,162,rationale_precision_at_5,0.1882
source=gab(n=17),A_B,162,rationale_recall_at_5,0.0754
source=gab(n=17),A_B,182,rationale_f1_at_5,0.0586
source=gab(n=17),A_B,182,rationale_precision_at_5,0.1294
source=gab(n=17),A_B,182,rationale_recall_at_5,0.0393
source=gab(n=17),D_B,162,rationale_f1_at_5,0.0885
source=gab(n=17),D_B,162,rationale_precision_at_5,0.1882
source=gab(n=17),D_B,162,rationale_recall_at_5,0.0759
source=gab(n=17),D_B,182,rationale_f1_at_5,0.0968
source=gab(n=17),D_B,182,rationale_precision_at_5,0.1882
source=gab(n=17),D_B,182,rationale_recall_at_5,0.0826
source=twitter(n=13),A_B,162,rationale_f1_at_5,0.1004
source=twitter(n=13),A_B,162,rationale_precision_at_5,0.0769
source=twitter(n=13),A_B,162,rationale_recall_at_5,0.1846
source=twitter(n=13),A_B,182,rationale_f1_at_5,0.0564
source=twitter(n=13),A_B,182,rationale_precision_at_5,0.0462
source=twitter(n=13),A_B,182,rationale_recall_at_5,0.1077
source=twitter(n=13),D_B,162,rationale_f1_at_5,0.1004
source=twitter(n=13),D_B,162,rationale_precision_at_5,0.0769
source=twitter(n=13),D_B,162,rationale_recall_at_5,0.1846
source=twitter(n=13),D_B,182,rationale_f1_at_5,0.1004
source=twitter(n=13),D_B,182,rationale_precision_at_5,0.0769
source=twitter(n=13),D_B,182,rationale_recall_at_5,0.1846
target=African(n=9),A_B,162,rationale_f1_at_5,0.0584
target=African(n=9),A_B,162,rationale_precision_at_5,0.0889
target=African(n=9),A_B,162,rationale_recall_at_5,0.0722
target=African(n=9),A_B,182,rationale_f1_at_5,0.0178
target=African(n=9),A_B,182,rationale_precision_at_5,0.0444
target=African(n=9),A_B,182,rationale_recall_at_5,0.0111
target=African(n=9),D_B,162,rationale_f1_at_5,0.0495
target=African(n=9),D_B,162,rationale_precision_at_5,0.0667
target=African(n=9),D_B,162,rationale_recall_at_5,0.0667
target=African(n=9),D_B,182,rationale_f1_at_5,0.0495
target=African(n=9),D_B,182,rationale_precision_at_5,0.0667
target=African(n=9),D_B,182,rationale_recall_at_5,0.0667
target=Arab(n=7),A_B,162,rationale_f1_at_5,0.1043
target=Arab(n=7),A_B,162,rationale_precision_at_5,0.2
target=Arab(n=7),A_B,162,rationale_recall_at_5,0.071
target=Arab(n=7),A_B,182,rationale_f1_at_5,0.099
target=Arab(n=7),A_B,182,rationale_precision_at_5,0.1714
target=Arab(n=7),A_B,182,rationale_recall_at_5,0.0696
target=Arab(n=7),D_B,162,rationale_f1_at_5,0.1173
target=Arab(n=7),D_B,162,rationale_precision_at_5,0.2286
target=Arab(n=7),D_B,162,rationale_recall_at_5,0.0794
target=Arab(n=7),D_B,182,rationale_f1_at_5,0.1509
target=Arab(n=7),D_B,182,rationale_precision_at_5,0.2857
target=Arab(n=7),D_B,182,rationale_recall_at_5,0.1032
target=Asian(n=2),A_B,162,rationale_f1_at_5,0.2475
target=Asian(n=2),A_B,162,rationale_precision_at_5,0.5
target=Asian(n=2),A_B,162,rationale_recall_at_5,0.1652
target=Asian(n=2),A_B,182,rationale_f1_at_5,0.1111
target=Asian(n=2),A_B,182,rationale_precision_at_5,0.2
target=Asian(n=2),A_B,182,rationale_recall_at_5,0.0769
target=Asian(n=2),D_B,162,rationale_f1_at_5,0.2929
target=Asian(n=2),D_B,162,rationale_precision_at_5,0.6
target=Asian(n=2),D_B,162,rationale_recall_at_5,0.1946
target=Asian(n=2),D_B,182,rationale_f1_at_5,0.2929
target=Asian(n=2),D_B,182,rationale_precision_at_5,0.6
target=Asian(n=2),D_B,182,rationale_recall_at_5,0.1946
target=Caucasian(n=5),A_B,162,rationale_f1_at_5,0.0444
target=Caucasian(n=5),A_B,162,rationale_precision_at_5,0.08
target=Caucasian(n=5),A_B,162,rationale_recall_at_5,0.0308
target=Caucasian(n=5),A_B,182,rationale_f1_at_5,0.0444
target=Caucasian(n=5),A_B,182,rationale_precision_at_5,0.08
target=Caucasian(n=5),A_B,182,rationale_recall_at_5,0.0308
target=Caucasian(n=5),D_B,162,rationale_f1_at_5,0.0444
target=Caucasian(n=5),D_B,162,rationale_precision_at_5,0.08
target=Caucasian(n=5),D_B,162,rationale_recall_at_5,0.0308
target=Caucasian(n=5),D_B,182,rationale_f1_at_5,0.0444
target=Caucasian(n=5),D_B,182,rationale_precision_at_5,0.08
target=Caucasian(n=5),D_B,182,rationale_recall_at_5,0.0308
target=Disability(n=1),A_B,162,rationale_f1_at_5,0.0
target=Disability(n=1),A_B,162,rationale_precision_at_5,0.0
target=Disability(n=1),A_B,162,rationale_recall_at_5,0.0
target=Disability(n=1),A_B,182,rationale_f1_at_5,0.0
target=Disability(n=1),A_B,182,rationale_precision_at_5,0.0
target=Disability(n=1),A_B,182,rationale_recall_at_5,0.0
target=Disability(n=1),D_B,162,rationale_f1_at_5,0.0
target=Disability(n=1),D_B,162,rationale_precision_at_5,0.0
target=Disability(n=1),D_B,162,rationale_recall_at_5,0.0
target=Disability(n=1),D_B,182,rationale_f1_at_5,0.0
target=Disability(n=1),D_B,182,rationale_precision_at_5,0.0
target=Disability(n=1),D_B,182,rationale_recall_at_5,0.0
target=Economic(n=1),A_B,162,rationale_f1_at_5,0.0
target=Economic(n=1),A_B,162,rationale_precision_at_5,0.0
target=Economic(n=1),A_B,162,rationale_recall_at_5,0.0
target=Economic(n=1),A_B,182,rationale_f1_at_5,0.0
target=Economic(n=1),A_B,182,rationale_precision_at_5,0.0
target=Economic(n=1),A_B,182,rationale_recall_at_5,0.0
target=Economic(n=1),D_B,162,rationale_f1_at_5,0.0
target=Economic(n=1),D_B,162,rationale_precision_at_5,0.0
target=Economic(n=1),D_B,162,rationale_recall_at_5,0.0
target=Economic(n=1),D_B,182,rationale_f1_at_5,0.0
target=Economic(n=1),D_B,182,rationale_precision_at_5,0.0
target=Economic(n=1),D_B,182,rationale_recall_at_5,0.0
target=Hispanic(n=1),A_B,162,rationale_f1_at_5,0.0
target=Hispanic(n=1),A_B,162,rationale_precision_at_5,0.0
target=Hispanic(n=1),A_B,162,rationale_recall_at_5,0.0
target=Hispanic(n=1),A_B,182,rationale_f1_at_5,0.0
target=Hispanic(n=1),A_B,182,rationale_precision_at_5,0.0
target=Hispanic(n=1),A_B,182,rationale_recall_at_5,0.0
target=Hispanic(n=1),D_B,162,rationale_f1_at_5,0.0
target=Hispanic(n=1),D_B,162,rationale_precision_at_5,0.0
target=Hispanic(n=1),D_B,162,rationale_recall_at_5,0.0
target=Hispanic(n=1),D_B,182,rationale_f1_at_5,0.0
target=Hispanic(n=1),D_B,182,rationale_precision_at_5,0.0
target=Hispanic(n=1),D_B,182,rationale_recall_at_5,0.0
target=Homosexual(n=4),A_B,162,rationale_f1_at_5,0.1429
target=Homosexual(n=4),A_B,162,rationale_precision_at_5,0.1
target=Homosexual(n=4),A_B,162,rationale_recall_at_5,0.25
target=Homosexual(n=4),A_B,182,rationale_f1_at_5,0.0
target=Homosexual(n=4),A_B,182,rationale_precision_at_5,0.0
target=Homosexual(n=4),A_B,182,rationale_recall_at_5,0.0
target=Homosexual(n=4),D_B,162,rationale_f1_at_5,0.1429
target=Homosexual(n=4),D_B,162,rationale_precision_at_5,0.1
target=Homosexual(n=4),D_B,162,rationale_recall_at_5,0.25
target=Homosexual(n=4),D_B,182,rationale_f1_at_5,0.1429
target=Homosexual(n=4),D_B,182,rationale_precision_at_5,0.1
target=Homosexual(n=4),D_B,182,rationale_recall_at_5,0.25
target=Islam(n=7),A_B,162,rationale_f1_at_5,0.0726
target=Islam(n=7),A_B,162,rationale_precision_at_5,0.1429
target=Islam(n=7),A_B,162,rationale_recall_at_5,0.049
target=Islam(n=7),A_B,182,rationale_f1_at_5,0.0672
target=Islam(n=7),A_B,182,rationale_precision_at_5,0.1143
target=Islam(n=7),A_B,182,rationale_recall_at_5,0.0476
target=Islam(n=7),D_B,162,rationale_f1_at_5,0.0856
target=Islam(n=7),D_B,162,rationale_precision_at_5,0.1714
target=Islam(n=7),D_B,162,rationale_recall_at_5,0.0574
target=Islam(n=7),D_B,182,rationale_f1_at_5,0.1192
target=Islam(n=7),D_B,182,rationale_precision_at_5,0.2286
target=Islam(n=7),D_B,182,rationale_recall_at_5,0.0812
target=Jewish(n=6),A_B,162,rationale_f1_at_5,0.1059
target=Jewish(n=6),A_B,162,rationale_precision_at_5,0.1333
target=Jewish(n=6),A_B,162,rationale_recall_at_5,0.0944
target=Jewish(n=6),A_B,182,rationale_f1_at_5,0.1451
target=Jewish(n=6),A_B,182,rationale_precision_at_5,0.2
target=Jewish(n=6),A_B,182,rationale_recall_at_5,0.1222
target=Jewish(n=6),D_B,162,rationale_f1_at_5,0.1059
target=Jewish(n=6),D_B,162,rationale_precision_at_5,0.1333
target=Jewish(n=6),D_B,162,rationale_recall_at_5,0.0944
target=Jewish(n=6),D_B,182,rationale_f1_at_5,0.1451
target=Jewish(n=6),D_B,182,rationale_precision_at_5,0.2
target=Jewish(n=6),D_B,182,rationale_recall_at_5,0.1222
target=Men(n=2),A_B,162,rationale_f1_at_5,0.2
target=Men(n=2),A_B,162,rationale_precision_at_5,0.2
target=Men(n=2),A_B,162,rationale_recall_at_5,0.2
target=Men(n=2),A_B,182,rationale_f1_at_5,0.2
target=Men(n=2),A_B,182,rationale_precision_at_5,0.2
target=Men(n=2),A_B,182,rationale_recall_at_5,0.2
target=Men(n=2),D_B,162,rationale_f1_at_5,0.2
target=Men(n=2),D_B,162,rationale_precision_at_5,0.2
target=Men(n=2),D_B,162,rationale_recall_at_5,0.2
target=Men(n=2),D_B,182,rationale_f1_at_5,0.2
target=Men(n=2),D_B,182,rationale_precision_at_5,0.2
target=Men(n=2),D_B,182,rationale_recall_at_5,0.2
target=Refugee(n=2),A_B,162,rationale_f1_at_5,0.1364
target=Refugee(n=2),A_B,162,rationale_precision_at_5,0.3
target=Refugee(n=2),A_B,162,rationale_recall_at_5,0.0882
target=Refugee(n=2),A_B,182,rationale_f1_at_5,0.0
target=Refugee(n=2),A_B,182,rationale_precision_at_5,0.0
target=Refugee(n=2),A_B,182,rationale_recall_at_5,0.0
target=Refugee(n=2),D_B,162,rationale_f1_at_5,0.1818
target=Refugee(n=2),D_B,162,rationale_precision_at_5,0.4
target=Refugee(n=2),D_B,162,rationale_recall_at_5,0.1176
target=Refugee(n=2),D_B,182,rationale_f1_at_5,0.1818
target=Refugee(n=2),D_B,182,rationale_precision_at_5,0.4
target=Refugee(n=2),D_B,182,rationale_recall_at_5,0.1176
target=Women(n=7),A_B,162,rationale_f1_at_5,0.1705
target=Women(n=7),A_B,162,rationale_precision_at_5,0.2857
target=Women(n=7),A_B,162,rationale_recall_at_5,0.2413
target=Women(n=7),A_B,182,rationale_f1_at_5,0.1569
target=Women(n=7),A_B,182,rationale_precision_at_5,0.2286
target=Women(n=7),A_B,182,rationale_recall_at_5,0.2336
target=Women(n=7),D_B,162,rationale_f1_at_5,0.1705
target=Women(n=7),D_B,162,rationale_precision_at_5,0.2857
target=Women(n=7),D_B,162,rationale_recall_at_5,0.2413
target=Women(n=7),D_B,182,rationale_f1_at_5,0.1569
target=Women(n=7),D_B,182,rationale_precision_at_5,0.2286
target=Women(n=7),D_B,182,rationale_recall_at_5,0.2336
